texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1,RASFF
Tricyclazole in rice cake from Serbia | cereals and bakery products | tricyclazole  unauthorised substance - {pesticide residues} | Serbia,CRITIQUE,cereals and bakery products,border rejection notification,no risk,Serbia,2026,4,1,RASFF
"Unauthorised substance sildenafil in food supplement from Turkey | dietetic foods, food supplements and fortified foods | sildenafil  unauthorised substance - {composition} | Türkiye",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Türkiye,2026,4,1,RASFF
Anisakidae spp. larvae detected in silver hake (Merluccius bilinearis) from Spain. | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Spain,INFO,fish and fish products,information notification for attention,not serious,Spain,2026,4,1,RASFF
"Sildenafil in food supplements from Turkey | dietetic foods, food supplements and fortified foods | sildenafil  unauthorised substance - {composition} | Türkiye",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Türkiye,2026,4,1,RASFF
Exceedance of the pesticide lambda-cyhalothrin (0.74 ± 0.37 mg/kg) in Navel oranges from Egypt. | fruits and vegetables | lambda-cyhalothrin   - {pesticide residues} | Egypt,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Egypt,2026,4,1,RASFF
"Aflatoxins in hazelnut flour from Georgia | nuts, nut products and seeds | Aflatoxin   - {mycotoxins} | Georgia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Georgia,2026,4,1,RASFF
Ochratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
"Aflatoxins in hazelnuts from Georgia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Georgia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Georgia,2026,4,1,RASFF
Ochratoxin A in dried figs from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
"Aflatoxins in pistachio kernels from Iran | nuts, nut products and seeds | aflatoxins   - {mycotoxins} | Iran",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Iran,2026,4,1,RASFF
Ochratoxin A contamination in dried figs from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
"Pesticide residues in grape leaves from Turkiye, via the Netherlands | fruits and vegetables | Azoxystrobin   - {pesticide residues},fluopyram   - {pesticide residues},indoxacarb   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},metalaxyl   - {pesticide residues},pyraclostrobin   - {pesticide residues},tebuconazole   - {pesticide residues},trifloxystrobin   - {pesticide residues} | Türkiye",ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Türkiye,2026,4,1,RASFF
Indications of spoilage (sensory deviations) of rice from India | cereals and bakery products | spoilage   - {organoleptic aspects} | India,ATTENTION,cereals and bakery products,information notification for follow-up,potential risk,India,2026,4,1,RASFF
"Aflatoxins in hazelnut flour from Georgia | nuts, nut products and seeds | Aflatoxin   - {mycotoxins} | Georgia",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Georgia,2026,4,1,RASFF
"Aflatoxin in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
"Benzo(a)Pyrene on Ginseng Extract from China | dietetic foods, food supplements and fortified foods | benzo(a)pyrene   - {environmental pollutants} | China",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,China,2026,4,1,RASFF
contamination with mouse faeces in porridge products | cereals and bakery products |  | United Kingdom,ATTENTION,cereals and bakery products,information notification for attention,potentially serious,United Kingdom,2026,4,1,RASFF
Aflatoxins in dried organic figs from Turkey | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
Salmonella spp in paprika from China/ Salmonella en pimentón de China | herbs and spices | Salmonella   - {pathogenic micro-organisms} | China,CRITIQUE,herbs and spices,border rejection notification,serious,China,2026,4,1,RASFF
"salmonella en semilla de sésamo de Nigeria // salmonella in sesame seeds from Nigeria | nuts, nut products and seeds |  | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,Nigeria,2026,4,1,RASFF
"Aflatoxins in peanuts from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2026,4,1,RASFF
Ochratoxin A in dried organic figs | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
Mesophilic bacteria in pancakes from Turkey | cereals and bakery products | mesophiles aerobic too high count - {non-pathogenic micro-organisms} | Türkiye,CRITIQUE,cereals and bakery products,border rejection notification,potential risk,Türkiye,2026,4,1,RASFF
Ochratoxin A in dried figs from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Türkiye,2026,4,1,RASFF
lead in avocados | fruits and vegetables | lead   - {heavy metals} | Spain,CRITIQUE,fruits and vegetables,alert notification,serious,Spain,2026,4,1,RASFF
mercury in frozen swordfish (Xiphas Gladius) from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,fish and fish products,alert notification,serious,Spain,2026,4,1,RASFF
Ochratoxin A in dried figs | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
 Fosthiazate in fresh peppers from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"Aflatoxin in Groundnuts from Brazil | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Brazil",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Brazil,2026,4,1,RASFF
"Aflatoxins on Groundnuts kernels from Barzil | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Brazil",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Brazil,2026,4,1,RASFF
"Biphenyl and orthophenylphenol in organic Hebridean seaweed from the United Kingdom | herbs and spices | biphenyl   - {pesticide residues},orthophenylphenol   - {pesticide residues} | United Kingdom",CRITIQUE,herbs and spices,border rejection notification,potentially serious,United Kingdom,2026,4,1,RASFF
"Exceeding the lead limit in food supplements | dietetic foods, food supplements and fortified foods | lead  high content - {heavy metals} | India,Italy",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,potentially serious,"India,Italy",2026,4,1,RASFF
pyrrolizidine alkaloids in oregano | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | Türkiye,CRITIQUE,herbs and spices,information notification for attention,serious,Türkiye,2026,4,1,RASFF
Ochratoxin A in Fig paste from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
"Salmonella spp. in nut nougat spread from Germany | nuts, nut products and seeds | Salmonella spp.  - {pathogenic micro-organisms} | Germany,Ghana,Hungary,Türkiye",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,"Germany,Ghana,Hungary,Türkiye",2026,4,1,RASFF
Ochratoxin A in organic raisins from Argentina | fruits and vegetables | ochratoxin A   - {mycotoxins} | Argentina,CRITIQUE,fruits and vegetables,alert notification,serious,Argentina,2026,4,1,RASFF
Mold found in semi.dried tomatoes from NL | fruits and vegetables |  | Netherlands,INFO,fruits and vegetables,information notification for follow-up,not serious,Netherlands,2026,4,1,RASFF
"Sildenafil in food supplement from Bulgaria  | dietetic foods, food supplements and fortified foods | sildenafil  unauthorised substance - {composition} | Bulgaria",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Bulgaria,2026,4,1,RASFF
Ochratoxin A in dried organic figs from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2026,4,1,RASFF
"Elevated benzo[a]pyrene and PAH4 in Perimenopause food supplement | dietetic foods, food supplements and fortified foods | benzo(a)pyrene   - {environmental pollutants},polycyclic aromatic hydrocarbons sum of  - {environmental pollutants} | United Kingdom",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potentially serious,United Kingdom,2026,4,1,RASFF
Border rejection of consignment of nutmeg due to missing official certificate | herbs and spices |  | Indonesia,CRITIQUE,herbs and spices,border rejection notification,potential risk,Indonesia,2026,4,1,RASFF
Fosthiazate in fresh peppers from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"Presenza di Listeria Monocytogenes in Salmone Affumicato Norvegese con pistacchio/// Presence of Listeria Monocytogenes in Norwegian Smoked Salmon | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Italy,Poland",CRITIQUE,fish and fish products,alert notification,serious,"Italy,Poland",2026,4,1,RASFF
Salmonella spp. in a herb mixture from the Islamic Republic of Iran | herbs and spices | Salmonella   - {pathogenic micro-organisms} | Iran,CRITIQUE,herbs and spices,information notification for attention,serious,Iran,2026,4,1,RASFF
"Tetrahydrocannabinol (THC) and unauthorised novel food ingredient cannabidiol (CBD) in dietary supplement from the Czech Republic | dietetic foods, food supplements and fortified foods | cannabidiol (CBD)  unauthorised novel food ingredient - {novel food},tetrahydrocanabinol (THC)  unauthorised substance - {composition} | Czechia",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Czechia,2026,4,1,RASFF
Ethylene oxide in hot red chilli powder | herbs and spices | ethylene oxide   - {pesticide residues} | India,CRITIQUE,herbs and spices,border rejection notification,serious,India,2026,4,1,RASFF
"difenoconazole and pyrimethanil in passionfruit from Colombia | fruits and vegetables | difenoconazole   - {pesticide residues},pyrimethanil   - {pesticide residues} | Colombia",CRITIQUE,fruits and vegetables,border rejection notification,not serious,Colombia,2026,4,1,RASFF
"STEC in organic seeds of broccoli, alfalfa, red clover and radish for sprouting, from Italy | nuts, nut products and seeds | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | Italy,Lithuania",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,"Italy,Lithuania",2026,4,1,RASFF
"Chlorpyrifos and several other pesticides found in cumin powder from India via NL | herbs and spices | Azoxystrobin   - {pesticide residues},acetamiprid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},clothianidin   - {pesticide residues},cypermethrin   - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues},propiconazole   - {pesticide residues},thiamethoxam   - {pesticide residues},tolfenpyrad   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,herbs and spices,alert notification,potentially serious,India,2026,4,1,RASFF
"Alérgenos no declarados en el etiquetado en español (leche, soja, sésamo y nueces) en cereales procedentes de Alemania//Allergens not declared on the Spanish label (milk, soya, sesame and nuts) in cereals from Germany   | cereals and bakery products |  | Germany",CRITIQUE,cereals and bakery products,alert notification,serious,Germany,2026,4,1,RASFF
Unapproved pesticide (dinotefuran) in red chili peppers from Jordan  // Detectie pesticid neaprobat (dinotefuran) in ardei iute rosu origine Iordania | fruits and vegetables | dinotefuran unauthorised substance  - {pesticide residues} | Jordan,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Jordan,2026,4,1,RASFF
Presence of Anisakis spp in frozen smoked salmon from Poland  | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Poland,ATTENTION,fish and fish products,information notification for follow-up,potential risk,Poland,2026,4,1,RASFF
Detectie pesticid neaprobat (dinotefuran) in ardei iute verde origine Iordania /////Detection of unapproved pesticide (dinotefuran) in green chili peppers originating from Jordan | fruits and vegetables | dinotefuran  unauthorised substance - {pesticide residues} | Jordan,ATTENTION,fruits and vegetables,information notification for attention,potentially serious,Jordan,2026,4,1,RASFF
"Pesticide residues in bottle gourds from India | fruits and vegetables | acephate  unauthorised substance - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues},omethoate   - {pesticide residues},thiamethoxam   - {pesticide residues} | India",CRITIQUE,fruits and vegetables,border rejection notification,potential risk,India,2026,4,1,RASFF
"Imazalil and Prochloraz in pomegranate from Türkiye | fruits and vegetables | imazalil   - {pesticide residues},prochloraz   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"Etoxazole and Fosthiazate in fresh peppers from Türkiye | fruits and vegetables | etoxazole   - {pesticide residues},fosthiazate   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"Pesticide residues in bottle gourds from India | fruits and vegetables | acephate  unauthorised substance - {pesticide residues},dimethoate   - {pesticide residues},methamidophos  unauthorised substance - {pesticide residues},omethoate   - {pesticide residues} | India",CRITIQUE,fruits and vegetables,border rejection notification,potential risk,India,2026,4,1,RASFF
Chlorfenapyr in frozen strawberries from republic of North Macedonia | fruits and vegetables | chlorfenapyr  unauthorised substance - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Egypt,2026,4,1,RASFF
" Indoxacarb and Tebufenpyrad in fresh peppers from Türkiye | fruits and vegetables | indoxacarb   - {pesticide residues},tebufenpyrad   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"Aflatoxins in pistachio kernels from Türkiye  | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Iran",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Iran,2026,4,1,RASFF
Ochratoxin A in organic dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
Chlorpyrifos - ethyl in orange from Egypt | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Egypt,2026,4,1,RASFF
Chlorpyrifos in turmeric from India | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues} | India,CRITIQUE,herbs and spices,information notification for attention,serious,India,2026,4,1,RASFF
"aflatoxins in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
Pesticide (dimethoate) in frozen strawberries from Egypt | fruits and vegetables | dimethoate   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,alert notification,potentially serious,Egypt,2026,4,1,RASFF
"Aflatoxin B1 and total on Groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
Resiudos de plaguicidas detectados en comino de China // Pesticide residues detected in cumin from China | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues} | China,CRITIQUE,herbs and spices,information notification for attention,serious,China,2026,4,1,RASFF
"High levels of aflatoxins and ochratoxins found in sulphite-free dried apricots from Turkey | fruits and vegetables | aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2026,4,1,RASFF
Hexaconazole in peppers from Uganda | fruits and vegetables | hexaconazole  unauthorised substance - {pesticide residues} | Uganda,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Uganda,2026,4,1,RASFF
Plastic pieces in fish product | fish and fish products |  | Germany,ATTENTION,fish and fish products,information notification for follow-up,potential risk,Germany,2026,4,1,RASFF
Parasitic infestation of cod carcases from USA | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | United States,CRITIQUE,fish and fish products,border rejection notification,not serious,United States,2026,4,1,RASFF
Histamine in herring fillets | fish and fish products | histamine   - {biological contaminants} | Poland,CRITIQUE,fish and fish products,alert notification,serious,Poland,2026,4,1,RASFF
"Cereulide in infant formula from Ireland | dietetic foods, food supplements and fortified foods | cereulide  - {natural toxins (other)} | Ireland",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,potentially serious,Ireland,2026,4,1,RASFF
"Ivermectin in frozen Panagsius fillets from Vietnam, via the Netherlands | fish and fish products | ivermectin  unauthorised - {residues of veterinary medicinal products} | Vietnam",INFO,fish and fish products,information notification for follow-up,not serious,Vietnam,2026,4,1,RASFF
Ochratoxin in organic sultanas from Uzbekistan via Germany | fruits and vegetables | ochratoxin A   - {mycotoxins} | Uzbekistan,CRITIQUE,fruits and vegetables,alert notification,serious,Uzbekistan,2026,4,1,RASFF
Foreign body in apricot puree from Italy / /Obecność ciała obcego w przecierze morelowym pochodzącym z Włoch  | fruits and vegetables |  | Poland,ATTENTION,fruits and vegetables,information notification for follow-up,potential risk,Poland,2026,4,1,RASFF
 clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,potential risk,Pakistan,2026,4,1,RASFF
Chlorate residues in loose pears from Belgium | fruits and vegetables | chlorate   - {environmental pollutants} | Belgium,INFO,fruits and vegetables,information notification for attention,no risk,Belgium,2026,4,1,RASFF
"Presencia de sildenafilo en complemento alimenticio procedente de Colombia// Presence of sildenafil in a food supplement from Colombia | dietetic foods, food supplements and fortified foods | sildenafil  unauthorised substance - {composition} | Colombia",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Colombia,2026,4,1,RASFF
massive Anisakis infestation in mackerel ( Scomber scombrus FAO 27) from Spain  | fish and fish products |  | Spain,ATTENTION,fish and fish products,information notification for follow-up,potential risk,Spain,2026,4,1,RASFF
pesticides in frozen strawberries | fruits and vegetables | dimethoate   - {pesticide residues} | Poland,CRITIQUE,fruits and vegetables,alert notification,serious,Poland,2026,4,1,RASFF
Undeclared allergens in biscuits | cereals and bakery products | egg  presence - {allergens} | Iran,CRITIQUE,cereals and bakery products,alert notification,serious,Iran,2026,4,1,RASFF
"Aflatoxins in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
Packaging error Cracked Green Olives from Türkiye | fruits and vegetables |  | Türkiye,ATTENTION,fruits and vegetables,information notification for follow-up,potentially serious,Türkiye,2026,4,1,RASFF
"Elevated levels of MOSH and MOAH in rice | cereals and bakery products | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants},mineral oil saturated hydrocarbons (MOSH)  - {environmental pollutants} | India",ATTENTION,cereals and bakery products,information notification for follow-up,potentially serious,India,2026,4,1,RASFF
"unauthorised novel food ingredient Tribulus terrestris in food supplements from Hungary | dietetic foods, food supplements and fortified foods |  | Hungary",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Hungary,2026,4,1,RASFF
"Unauthorised use of E321 and colours E 110 - Sunset Yellow FCF and E 124 - Ponceau 4R / cochineal red A in seaweed based fish roe analogues from Russia | fruits and vegetables | colour E 110 - Sunset Yellow FCF unauthorised use - {food additives and flavourings},colour E 124 - Ponceau 4R / cochineal red A unauthorised use - {food additives and flavourings} | Russia",INFO,fruits and vegetables,information notification for follow-up,not serious,Russia,2026,4,1,RASFF
"azoxystrobin, propiconazole, propamocarb, phosphonic acid in pumpkin seeds from Ukraine | nuts, nut products and seeds | Azoxystrobin   - {pesticide residues},fosetyl and phosphonates  - {pesticide residues},propamocarb   - {pesticide residues},propiconazole   - {pesticide residues} | Ukraine",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Ukraine,2026,4,1,RASFF
"Aflatoxin in almonds from Spain | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Spain",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Spain,2026,4,1,RASFF
high level of Ocratoxin A in dry figs from Türkiye  | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
high level of Ocratoxin A in dry figs from Türkiye  | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
Histamin in mackerel from Spain | fish and fish products | histamine   - {biological contaminants} | Spain,CRITIQUE,fish and fish products,information notification for attention,serious,Spain,2026,4,1,RASFF
Aflatoxins in dried figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
Ochratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
Acetamiprid in fresh tomatoes from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
Pesticide residues in organges from Egypt | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Egypt,2026,4,1,RASFF
Pesticides residues of chlorpropham in orange from Egypt | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Egypt,2026,4,1,RASFF
Flonicamid in red pointed peppers from the Netherlands | fruits and vegetables | flonicamid   - {pesticide residues} | Netherlands,CRITIQUE,fruits and vegetables,information notification for attention,serious,Netherlands,2026,4,1,RASFF
Unauthorised additive E266 in bakery product  | cereals and bakery products |  | unknown origin,INFO,cereals and bakery products,information notification for follow-up,not serious,unknown origin,2026,4,1,RASFF
"Aflatoxins in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
"Aflatoxins in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
"Aflatoxins in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
"Aflatoxins in groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
Stwierdzenie przekroczenia ochratoksyny A na poziomie 146 µg/kg w papryce ostrej pochodzącej z Hiszpanii // exceeding the level of ochratoxin A at 146 µg/kg in hot peppers from Spain | herbs and spices | ochratoxin A   - {mycotoxins} | Spain,CRITIQUE,herbs and spices,alert notification,serious,Spain,2026,4,1,RASFF
Listeria monocytogenes in matjes fillets from Lithuania | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Lithuania,INFO,fish and fish products,information notification for attention,not serious,Lithuania,2026,4,1,RASFF
"Dietary supplements containing unapproved novel foods: Cistanche, benfotiamine, ivy leaf and apigenin | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potential risk,United Kingdom,2026,4,1,RASFF
"Avermectin B1a in bell peppers from Morocco, via Spain | fruits and vegetables | abamectin   - {pesticide residues} | Morocco",CRITIQUE,fruits and vegetables,alert notification,serious,Morocco,2026,4,1,RASFF
"Aflatoxin B1 in Groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
"Phosmet, diflubenzuron and chlorfenapyr in limes from the Netherlands | fruits and vegetables | chlorfenapyr   - {pesticide residues},diflubenzuron   - {pesticide residues},phosmet  unauthorised substance | Netherlands",ATTENTION,fruits and vegetables,information notification for attention,potential risk,Netherlands,2026,4,1,RASFF
"Pesticide residues in grape leaves from Türkiye, via Germany | fruits and vegetables | Azoxystrobin   - {pesticide residues},acetamiprid   - {pesticide residues},boscalid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},cyfluthrin   - {pesticide residues},difenoconazole   - {pesticide residues},diniconazole   - {pesticide residues},emamectin   - {pesticide residues},imidacloprid   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},lufenuron   - {pesticide residues},methoxyfenozide   - {pesticide residues},propiconazole   - {pesticide residues},pyraclostrobin   - {pesticide residues},thiacloprid   - {pesticide residues},thiophanate-methyl   - {pesticide residues} | Türkiye",ATTENTION,fruits and vegetables,information notification for follow-up,potentially serious,Türkiye,2026,4,1,RASFF
"Pesticide residues in tamarillo from Burundi. | fruits and vegetables | acetamiprid   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues},omethoate   - {pesticide residues} | Burundi",CRITIQUE,fruits and vegetables,alert notification,serious,Burundi,2026,4,1,RASFF
MOAH in Green Peas from the Philippines / MOAH en guisantes verdes de Filipinas | fruits and vegetables | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants} | Philippines,CRITIQUE,fruits and vegetables,alert notification,serious,Philippines,2026,4,1,RASFF
Procloraz en mangos de Colombia // Prochloraz in mangoes from Colombia | fruits and vegetables | prochloraz   - {pesticide residues} | Colombia,CRITIQUE,fruits and vegetables,border rejection notification,serious,Colombia,2026,4,1,RASFF
Flonicamid in frozen okra from Vietnam | fruits and vegetables | flonicamid   - {pesticide residues} | Vietnam,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Vietnam,2026,4,1,RASFF
Flonicamid in frozen okra from Vietnam | fruits and vegetables | flonicamid   - {pesticide residues} | Vietnam,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Vietnam,2026,4,1,RASFF
"Aflatoxins (B1=15.2; Tot.=38.0 μg/kg - ppb) in dried figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2026,4,1,RASFF
"Aflatoxins in dried figs from Turkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
