texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
"Haloxyfop and carbendazim in Fava beans (Favetta) | fruits and vegetables | carbendazim  unauthorised substance - {pesticide residues},haloxyfop  unauthorised substance - {pesticide residues} | Egypt",ATTENTION,fruits and vegetables,information notification for attention,potential risk,Egypt,2024,10,1
Presencia de cuerpo extraño en galletas saladas procedentes de Italia/// Presence of foreign body in crackers from Italy | cereals and bakery products |  | Italy,INFO,cereals and bakery products,information notification for follow-up,not serious,Italy,2024,10,1
Nuevo alimento no autorizado (Extracto semillas de cáñamo y aroma natural de cannabis) en bebida energética procedente de Polonia//Unauthorised novel food (hemp seed extract and natural cannabis flavouring) in energy drink from Poland | non-alcoholic beverages |  | Poland,ATTENTION,non-alcoholic beverages,information notification for follow-up,potential risk,Poland,2024,10,0
Muscimol in gummy bears from the Czech Republic | confectionery | muscimol unauthorised substance - {composition} | Czechia,CRITIQUE,confectionery,alert notification,serious,Czechia,2024,10,0
Gluten (>80mg/kg) in gluten-free oat flakes from Poland | cereals and bakery products | gluten  presence - {allergens} | ,CRITIQUE,cereals and bakery products,alert notification,serious,,2024,10,1
"Presença do residuo de pesticida Paraquat, acima do LMR | cereals and bakery products |  | Argentina",CRITIQUE,cereals and bakery products,border rejection notification,no risk,Argentina,2024,10,1
"imazetapyr (0,033 ± 0,017 mg/kg) w soczewicy czerwonej // imazethapyr (0,033 ± 0,017 mg/kg) in red lentils | fruits and vegetables |  | Russia",CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Russia,2024,10,1
"Tongkat ali (Eurycoma longifolia Jack) being sold to the Netherlands from German webshop | dietetic foods, food supplements and fortified foods |  | Germany",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Germany,2024,10,1
PAH's in parsley extract from China | herbs and spices | polycyclic aromatic hydrocarbons sum of  - {environmental pollutants} | China,CRITIQUE,herbs and spices,information notification for attention,serious,China,2024,10,1
"High content of cadmium and chlorpyrifos in tomatoes from Turkey | fruits and vegetables | cadmium   - {heavy metals},chlorpyrifos   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Türkiye,2024,10,1
Detection of Listeria monocytogenes in guacamole from Belgium | prepared dishes and snacks | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,prepared dishes and snacks,alert notification,serious,Belgium,2024,10,0
PRESENÇA DE RESIDUOS DE ADITIVOS NÃO AUTORIZADOS // Pesence of non authorised additives in instant noodles from Brazil | cereals and bakery products |  | Brazil,CRITIQUE,cereals and bakery products,border rejection notification,potential risk,Brazil,2024,10,1
"Salmonella spp. in frozen chicken kebab from Poland | poultry meat and poultry meat products | Salmonella spp   - {pathogenic micro-organisms} | Hungary,Poland",CRITIQUE,poultry meat and poultry meat products,alert notification,serious,"Hungary,Poland",2024,10,0
traces of lactoprotein (170 mg/kg - ppm) in lactose-free whole milk from Belgium | milk and milk products | lactose  undeclared - {allergens} | Belgium,CRITIQUE,milk and milk products,alert notification,serious,Belgium,2024,10,0
Aflatoxins in dried figs from Türkiye | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
Mineral oil components (MOSH/MOAH) in rice from Pakistan via the Netherlands | cereals and bakery products | mineral oil   - {environmental pollutants} | Pakistan,ATTENTION,cereals and bakery products,information notification for follow-up,potentially serious,Pakistan,2024,10,1
salmonella in poultry meat from Poland | poultry meat and poultry meat products | Salmonella   - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2024,10,0
Salmonella spp. in dog chews from Germany | feed materials | Salmonella spp   - {pathogenic micro-organisms} | France,CRITIQUE,feed materials,alert notification,potentially serious,France,2024,10,0
oxytetracycline in prawns | cephalopods and products thereof | oxytetracycline  residue level above MRL - {residues of veterinary medicinal products} | Vietnam,INFO,cephalopods and products thereof,information notification for follow-up,not serious,Vietnam,2024,10,0
Microbiological contamination in water for babies from Germany | water for human consumption (other) | moulds  infested with - {non-pathogenic micro-organisms} | Germany,CRITIQUE,water for human consumption (other),alert notification,potentially serious,Germany,2024,10,0
"Salmonella spp. in vegan omelette mix from Poland, via Germany | prepared dishes and snacks |  | Germany",CRITIQUE,prepared dishes and snacks,alert notification,serious,Germany,2024,10,0
Listeria in chilled char from Norway | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Norway,CRITIQUE,fish and fish products,alert notification,potentially serious,Norway,2024,10,1
"Salmonella Ohio, Typhimurium and Derby in frozen pork cheek from Poland via Estonia | meat and meat products (other than poultry) | Salmonella   - {pathogenic micro-organisms},Salmonella Derby  - {pathogenic micro-organisms},Salmonella Ohio  - {pathogenic micro-organisms},Salmonella typhimurium  - {pathogenic micro-organisms} | Poland",ATTENTION,meat and meat products (other than poultry),information notification for follow-up,potential risk,Poland,2024,10,0
 Detection of Listeria monocytogenes in SALMON | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,fish and fish products,alert notification,serious,France,2024,10,1
Alérgenos no declarados (gluten) en el embalaje secundario de bebida vegetal de avena procedente de España // Undeclared allergens (gluten) in the secondary packaging of vegetable oat drink from Spain  | non-alcoholic beverages |  | Spain,ATTENTION,non-alcoholic beverages,information notification for attention,potentially serious,Spain,2024,10,0
"Salmonella Cannstat in sesame seeds from India | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | India",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,India,2024,10,1
Cadmium in avocado from Colombia | fruits and vegetables | cadmium   - {heavy metals} | Colombia,CRITIQUE,fruits and vegetables,alert notification,serious,Colombia,2024,10,1
"Titanium dioxide in fondant mass from Türkiye, via Belgium | confectionery |  | Türkiye",ATTENTION,confectionery,information notification for follow-up,potentially serious,Türkiye,2024,10,0
"Salmonella spp in sesame seeds from Tanzania | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Tanzania",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Tanzania,2024,10,1
"Salmonella Infantis and Campylobacter coli in chicken from Poland | poultry meat and poultry meat products | Campylobacter coli  - {pathogenic micro-organisms},Salmonella infantis  - {pathogenic micro-organisms} | Poland",ATTENTION,poultry meat and poultry meat products,information notification for attention,potentially serious,Poland,2024,10,0
Detection of S.enteritidis in neck skin samples | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | France,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,France,2024,10,0
Ochratoxin A in organic soft figs origin Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,alert notification,serious,Türkiye,2024,10,1
"Tricyclazole and propiconazole in rice from India | cereals and bakery products | propiconazole   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,cereals and bakery products,border rejection notification,not serious,India,2024,10,1
"Salmonella spp. in chilled turkey legs from Poland | poultry meat and poultry meat products | Salmonella spp   - {pathogenic micro-organisms} | Germany,Poland",INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,"Germany,Poland",2024,10,0
"Unauthorized use of Benzoic acid (E210) in food supplements for children from United Kingdom via Estonia | dietetic foods, food supplements and fortified foods | E 210 - benzoic acid  unauthorised - {food additives and flavourings} | United Kingdom",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,United Kingdom,2024,10,1
"Salmonella spp. in grounded organic onions from Egypt | fruits and vegetables | Salmonella   - {pathogenic micro-organisms} | Austria,Belgium,Germany",CRITIQUE,fruits and vegetables,alert notification,potentially serious,"Austria,Belgium,Germany",2024,10,1
"Nuevo alimento no autorizado (CBD) en complementos alimenticios procedentes de la República Checa./Unapproved novel food (CBD) in food supplements from the Czech Republic | dietetic foods, food supplements and fortified foods |  | Czechia",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for follow-up,potential risk,Czechia,2024,10,1
listeria monocytogenes in pork sausages from Poland | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms} | Poland,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Poland,2024,10,0
pyrrolizidine alkaloids in sage from Turkey | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | Türkiye,ATTENTION,herbs and spices,information notification for attention,potentially serious,Türkiye,2024,10,1
Salmonella Umbilo in organic leaf spinach from Italy | fruits and vegetables | Salmonella Umbilo  - {pathogenic micro-organisms} | Italy,CRITIQUE,fruits and vegetables,information notification for attention,serious,Italy,2024,10,1
Detection of Salmonella Typhimurium on chicken neck skins | poultry meat and poultry meat products | Salmonella typhimurium  - {pathogenic micro-organisms} | France,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,France,2024,10,0
Presence of E.coli STEC in Valençay cheese | milk and milk products | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2024,10,0
Undeclared allergen milk in corn nacho cheese snack | prepared dishes and snacks |  | Netherlands,CRITIQUE,prepared dishes and snacks,alert notification,serious,Netherlands,2024,10,0
"Fragments of plastic foil in chocolate from Montenegro | cocoa and cocoa preparations, coffee and tea |  | Montenegro",ATTENTION,"cocoa and cocoa preparations, coffee and tea",information notification for attention,potential risk,Montenegro,2024,10,0
Fluazifop-P in Origano from an unknown origin | herbs and spices | fluazifop-P   - {pesticide residues} | Italy,ATTENTION,herbs and spices,information notification for follow-up,potential risk,Italy,2024,10,1
Unauthorised Sulphur dioxide in dried cinnamon bark from Vietnam | herbs and spices | sulphur  unauthorised substance - {chemical contamination (other)} | Vietnam,CRITIQUE,herbs and spices,alert notification,serious,Vietnam,2024,10,1
Consignment different types of fishballs from China passed the BCP without then neccessary veterinary controls. | other food product / mixed |  | China,INFO,other food product / mixed,information notification for follow-up,not serious,China,2024,10,0
Chlorpyrifos in mixed salad from Republic of Nord Macedonia | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Republic of North Macedonia,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Republic of North Macedonia,2024,10,1
"thiamethoxam , tryciclazole in rice from Cambodia  | cereals and bakery products | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | Cambodia",CRITIQUE,cereals and bakery products,border rejection notification,potentially serious,Cambodia,2024,10,1
"Salmonella spp. and Listeria monocytogenes in chilled chicken meat and frozen chicken kebab from Poland | poultry meat and poultry meat products | Listeria monocytogenes  - {pathogenic micro-organisms},Salmonella spp.  - {pathogenic micro-organisms} | Poland",CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2024,10,0
"high levels of aflatoxins in dried figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
"Unauthorized substances (Yohimbe and DMAA) in food supplement, sold via several web shops | dietetic foods, food supplements and fortified foods |  | United States",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,United States,2024,10,1
"Medicinal active substance in food supplement from Thailand | dietetic foods, food supplements and fortified foods | sildenafil   - {composition} | Thailand",CRITIQUE,"dietetic foods, food supplements and fortified foods",information notification for attention,serious,Thailand,2024,10,1
"Pesticides residues in lemon from Israel | fruits and vegetables | chlorfenapyr  unauthorised substance - {pesticide residues},flutriafol   - {pesticide residues},formetanate   - {pesticide residues},lufenuron   - {pesticide residues} | Israel",CRITIQUE,fruits and vegetables,information notification for attention,serious,Israel,2024,10,1
"Medicinal active substance in food supplement from Thailand | dietetic foods, food supplements and fortified foods | sildenafil   - {composition} | Thailand",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Thailand,2024,10,1
Cadmium in rawit red from Morocco | fruits and vegetables | cadmium   - {heavy metals} | Morocco,CRITIQUE,fruits and vegetables,alert notification,serious,Morocco,2024,10,1
Fosthiazate in celery root from Poland | fruits and vegetables | fosthiazate   - {pesticide residues} | Poland,CRITIQUE,fruits and vegetables,alert notification,serious,Poland,2024,10,1
Fosthiazate in cucumbers from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,alert notification,serious,Türkiye,2024,10,1
"Aflatoxins in dried figs from dried figs | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
aflatoxins in dried figs from Türkiye | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
"Unauthorised use of colour E 171 - titanium dioxide in candies from China, via Lithuania | confectionery | colour E 171 - titanium dioxide unauthorised use - {food additives and flavourings} | China",ATTENTION,confectionery,information notification for follow-up,potential risk,China,2024,10,0
"Aflatoxin in dried figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
"3-MCPD e glicidolo in noodles dal Bangladesh/3-MCPD and glycidol in noodles from Bangladesh | other food product / mixed | 3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants} | Bangladesh",CRITIQUE,other food product / mixed,border rejection notification,serious,Bangladesh,2024,10,0
Uso de ingrediente prohibido (muscimol) en gominolas procedentes de la República Checa//Use of prohibited ingredient (muscimol) in gummies from Czech Republic  | confectionery |  | Czechia,CRITIQUE,confectionery,alert notification,serious,Czechia,2024,10,0
Nuevo alimento no autorizado (HHC) en gominolas  procedentes de la República Checa //  Novel non-authorised food (HHC) in gummies from the Czech Republic     | confectionery |  | Czechia,CRITIQUE,confectionery,alert notification,serious,Czechia,2024,10,0
Ochratoxin A in dried figs from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2024,10,1
"Medicinal active substance in food supplement from Slovakia | dietetic foods, food supplements and fortified foods | sildenafil   - {composition} | unknown origin",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,unknown origin,2024,10,1
STEC in cheese from France | milk and milk products | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,information notification for attention,serious,France,2024,10,0
Salmonella spp. in chilled poultry elements from Poland | poultry meat and poultry meat products | Salmonella spp   - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2024,10,0
Presence of Listeria monocytogenes in smoked sausage from Latvia | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms} | Latvia,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Latvia,2024,10,0
Presence of histamine above the limits in anchovies in oil/presenza di istamina superiore ai limiti in alici sottolio | fish and fish products | histamine   - {biological contaminants} | Albania,CRITIQUE,fish and fish products,information notification for attention,serious,Albania,2024,10,1
"Unauthorized pesticide residue Chlorpyrifos - 0,033 ± 0,017 mg/kg | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Uzbekistan",CRITIQUE,fruits and vegetables,alert notification,serious,Uzbekistan,2024,10,1
Gluten-containing grains in gluten-free buckwheat flour | cereals and bakery products | gluten  too high content - {allergens} | Netherlands,CRITIQUE,cereals and bakery products,alert notification,serious,Netherlands,2024,10,1
Mercurio en pescado (Epinephelus aeneus) de Senegal. / Mercury in fish (Epinephelus aeneus) from Senegal. | fish and fish products | mercury   - {heavy metals} | Senegal,CRITIQUE,fish and fish products,border rejection notification,serious,Senegal,2024,10,1
Titanium dioxide E171 in confectionary from China | confectionery |  | China,ATTENTION,confectionery,information notification for attention,potential risk,China,2024,10,0
too high content of E 211 - sodium benzoate (1000 mg/kg - ppm) in prepared olives and unauthorised in prepared lemons from Morocco | fruits and vegetables |  | Morocco,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Morocco,2024,10,1
Ruptura de la cadena de frío en atún de buque español. / Breakage of the cold chain in tuna from Spanish vessel. | fish and fish products |  | Spain,CRITIQUE,fish and fish products,border rejection notification,potential risk,Spain,2024,10,1
Higiene deficiente y componentes clasificados como nuevos alimentos no autorizados en cártamo de Estados Unidos /  Poor hygiene and components classified as unauthorised novel foods in US safflower | other food product / mixed |  | United States,CRITIQUE,other food product / mixed,border rejection notification,potential risk,United States,2024,10,0
Ochratoxin A in rice from Pakistan / Ocratoxina A en arroz de Pakistán | cereals and bakery products | ochratoxin A   - {mycotoxins} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,potentially serious,Pakistan,2024,10,1
Ruptura de la cadena de frío en pescado congelado de Nueva Zelanda. / Breach of the cold chain in frozen fish from New Zealand. | fish and fish products |  | New Zealand,CRITIQUE,fish and fish products,border rejection notification,potential risk,New Zealand,2024,10,1
"Novel Food L-theanine and use of unauthorized claims | dietetic foods, food supplements and fortified foods |  | China",INFO,"dietetic foods, food supplements and fortified foods",information notification for follow-up,not serious,China,2024,10,1
Ruptura de la cadena de frío en langostinos congelados de Marruecos./ Breakage of the cold chain in frozen prawns from Morocco. | crustaceans and products thereof |  | Morocco,CRITIQUE,crustaceans and products thereof,border rejection notification,potential risk,Morocco,2024,10,0
Diquat in feed material from Ukraine | feed materials | diquat unauthorised substance - {pesticide residues} | Ukraine,INFO,feed materials,information notification for attention,no risk,Ukraine,2024,10,0
Ochratoxin A in raisins from Afganistan via Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Afghanistan,CRITIQUE,fruits and vegetables,border rejection notification,serious,Afghanistan,2024,10,1
Chlorpyrifos in cucumbers from Serbia | fruits and vegetables | chlorpyrifos   - {pesticide residues} | Serbia,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Serbia,2024,10,1
"Salmonella spp in sesame seeds origin CHAD via Turkiye | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Chad",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Chad,2024,10,1
Bacillus cereus in instant noodles | other food product / mixed | Bacillus cereus  - {pathogenic micro-organisms} | France,ATTENTION,other food product / mixed,information notification for follow-up,potentially serious,France,2024,10,0
akrylamid w herbatnikach z Rumunii //  High levels of acrylamide in biscuits from Romania | cereals and bakery products | acrylamide  high level - {industrial contaminants} | Romania,ATTENTION,cereals and bakery products,information notification for follow-up,potential risk,Romania,2024,10,1
Detection of Salmonella in Bouchot Mussels | bivalve molluscs and products thereof | Salmonella   - {non-pathogenic micro-organisms} | France,CRITIQUE,bivalve molluscs and products thereof,alert notification,serious,France,2024,10,0
Mold in mold found in the lids of the product (apple juice) | non-alcoholic beverages |  | ,ATTENTION,non-alcoholic beverages,information notification for follow-up,potential risk,,2024,10,0
Wysoki poziom akryloamidu w herbatnikach pochodzących z Rumunii// High levels of acrylamide in biscuits from Romania | confectionery | acrylamide  high level - {industrial contaminants} | Romania,ATTENTION,confectionery,information notification for follow-up,potential risk,Romania,2024,10,0
" Medicinal active ingredient in dietary supplement from China via Slovakia  | dietetic foods, food supplements and fortified foods | sildenafil   - {composition},tadalafil  unauthorised substance - {composition} | China",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,China,2024,10,1
"Medicinal active substance in food supplement from China via Slovakia | dietetic foods, food supplements and fortified foods | sildenafil   - {composition},tadalafil  unauthorised substance - {composition} | China",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,China,2024,10,1
Salmonella enteritidis in fresh chicken meat from Brazil. | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Brazil,CRITIQUE,poultry meat and poultry meat products,border rejection notification,serious,Brazil,2024,10,0
Presence of Salmonella in poultry meat preparation  | poultry meat and poultry meat products | Salmonella Newport  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Poland,2024,10,0
No declared sulfur in mango sheets and non compliance deklaration of additives | fruits and vegetables | E220- sulfur dioxide  too high content - {food additives and flavourings} | Thailand,CRITIQUE,fruits and vegetables,alert notification,potentially serious,Thailand,2024,10,1
Higiene deficiente en pescado de buque español. / Poor hygiene in fish from Spanish vessel | fish and fish products |  | Peru,CRITIQUE,fish and fish products,border rejection notification,potential risk,Peru,2024,10,1
"Thiamethoxam and Tricyclazole in rice from India | cereals and bakery products | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,cereals and bakery products,border rejection notification,not serious,India,2024,10,1
Ruptura de la cadena de frío en atún de buque español. / Cold chain break in tuna from Spanish vessel. | fish and fish products |  | Spain,CRITIQUE,fish and fish products,border rejection notification,potential risk,Spain,2024,10,1
Salmonella in dried ham sausages from France | meat and meat products (other than poultry) | Salmonella   - {pathogenic micro-organisms} | France,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,France,2024,10,0
"Aflatoxins in peanuts from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,China,2024,10,1
Tricyclazole in rice from India | cereals and bakery products | tricyclazole  unauthorised substance - {pesticide residues} | India,CRITIQUE,cereals and bakery products,border rejection notification,no risk,India,2024,10,1
Thiamethoxam in rice from Pakistan | cereals and bakery products | thiamethoxam   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2024,10,1
Salmonella Infantis in chilled chicken meat from Ukraine | poultry meat and poultry meat products | Salmonella infantis  - {pathogenic micro-organisms} | Ukraine,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Ukraine,2024,10,0
"Imidacloprid and Thiamethoxam in rice from Pakistan | cereals and bakery products | imidacloprid   - {pesticide residues},thiamethoxam   - {pesticide residues} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2024,10,1
"Imidacloprid and Thiamethoxam in rice from Pakistan | cereals and bakery products | imidacloprid   - {pesticide residues},thiamethoxam   - {pesticide residues} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2024,10,1
"3-MCPD and glycidol in sponge rolls from Bulgaria | other food product / mixed | 3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants} | Bulgaria",ATTENTION,other food product / mixed,information notification for attention,potentially serious,Bulgaria,2024,10,0
Chlorpyrifos-methyl in fresh peppers from Türkiye | fruits and vegetables | chlorpyrifos-methyl  unauthorised substance - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2024,10,1
salmonella in live mussels from the Netherlands | bivalve molluscs and products thereof |  | Netherlands,CRITIQUE,bivalve molluscs and products thereof,information notification for attention,serious,Netherlands,2024,10,0
Acetamiprid in grapes from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2024,10,1
hexaconazole in pepers from Kenya | fruits and vegetables | hexaconazole  unauthorised substance - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,potential risk,Kenya,2024,10,1
"unauthorised pesticide residues in Indian cumin powder | herbs and spices | Azoxystrobin   - {pesticide residues},acetamiprid   - {pesticide residues},carbendazim  unauthorised substance - {pesticide residues},chlorpyriphos-ethyl   - {pesticide residues},clothianidin   - {pesticide residues},hexaconazole  unauthorised substance - {pesticide residues},iprobenfos  unauthorised substance - {pesticide residues},kresoxim-methyl   - {pesticide residues},picoxystrobin   unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,herbs and spices,border rejection notification,serious,India,2024,10,1
Fillets of Southwest Atlantic hake (Merluccius hubbsi) | fish and fish products | total volatile basic nitrogen  too high content - {organoleptic aspects} | Argentina,CRITIQUE,fish and fish products,border rejection notification,potential risk,Argentina,2024,10,1
"S. Infantis in poultry meat from Poland | poultry meat and poultry meat products | Salmonella   - {pathogenic micro-organisms},Salmonella infantis  - {pathogenic micro-organisms} | Poland",INFO,poultry meat and poultry meat products,information notification for follow-up,no risk,Poland,2024,10,0
"Diafenthiuron in tea from China | cocoa and cocoa preparations, coffee and tea | diafenthiuron  unauthorised substance - {pesticide residues} | China",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",border rejection notification,potential risk,China,2024,10,0
"Pesticides residues in vine leaves from Egypt | fruits and vegetables | acetamiprid   - {pesticide residues},boscalid   - {pesticide residues},cypermethrin   - {pesticide residues},imidacloprid   - {pesticide residues},penconazole   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,border rejection notification,serious,Egypt,2024,10,1
Chlorpyrifos in Black Eyed Beans | other food product / mixed | chlorpyrifos   - {pesticide residues} | Peru,ATTENTION,other food product / mixed,information notification for attention,potentially serious,Peru,2024,10,0
"Veterinairy consignment soups, cakes, eggplant in sauce from Vietnam not presented for veterinary checks at the BCP Rotterdam | soups, broths, sauces and condiments |  | Vietnam",ATTENTION,"soups, broths, sauces and condiments",information notification for follow-up,potentially serious,Vietnam,2024,10,0
"obecność Salmonella w 1 z 5 próbek majeranku suszonego//presence of Salmonella in 1 of 5 dried marjoram samples from Egypt, via Latvia | herbs and spices | Salmonella   - {pathogenic micro-organisms} | Egypt",CRITIQUE,herbs and spices,alert notification,potentially serious,Egypt,2024,10,1
Metal in energy drink | non-alcoholic beverages |  | ,CRITIQUE,non-alcoholic beverages,alert notification,serious,,2024,10,0
Undeclared allergen wheat in Risotto from Italy | prepared dishes and snacks |  | Italy,CRITIQUE,prepared dishes and snacks,information notification for attention,serious,Italy,2024,10,0
"Salmonella Poona in frozen prawns from Greenland, via Germany | crustaceans and products thereof | Salmonella spp.  - {pathogenic micro-organisms} | Germany",CRITIQUE,crustaceans and products thereof,alert notification,serious,Germany,2024,10,0
Glycidol and 3-MCPD in a fine bakery product from Bulgaria | other food product / mixed | glycidyl esters   - {industrial contaminants} | Bulgaria,ATTENTION,other food product / mixed,information notification for attention,potentially serious,Bulgaria,2024,10,0
detection of Salmonella in poultry meat from Poland | poultry meat and poultry meat products | Salmonella group C1  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2024,10,0
"Glycidol and 3-MCPD in a fine bakery product from Bulgaria | other food product / mixed | 3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants} | Bulgaria",ATTENTION,other food product / mixed,information notification for follow-up,potentially serious,Bulgaria,2024,10,0
"Thiamethoxam and tricyclazole in rice from India | cereals and bakery products | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,cereals and bakery products,border rejection notification,not serious,India,2024,10,1
"High levels of Chlorpyrifos in red (brown) raisins from Afghanistan, via Sweden | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Afghanistan",CRITIQUE,fruits and vegetables,alert notification,potentially serious,Afghanistan,2024,10,1
"Multiple pesticide residues in rice from Pakistan | cereals and bakery products | acetamiprid   - {pesticide residues},imidacloprid   - {pesticide residues},thiamethoxam   - {pesticide residues} | Pakistan",CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2024,10,1
