texte,niveau,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,RASFF
"DMAA in food supplements sold online from United Kingdom | dietetic foods, food supplements and fortified foods |  | unknown origin",CRITIQUE,RASFF
pesticides in fresh chili | fruits and vegetables | omethoate   - {pesticide residues} | Thailand,CRITIQUE,RASFF
"Aflatoxins in groundnut kernels from Brazil | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Brazil",CRITIQUE,RASFF
"Residues pesticide oxamyl and chlorfenapyr in frozen strawberry from Egypt | fruits and vegetables | chlorfenapyr   - {pesticide residues},oxamyl  unauthorised substance - {pesticide residues} | Egypt",CRITIQUE,RASFF
"Tropane alkaloids in corn for pop corn from Argentina | cereals and bakery products | tropane alkaloids  - {natural toxins (other)} | Argentina,Italy",CRITIQUE,RASFF
Unauthorised substances (Buprofezin) in clementines from South Africa via Netherlands | fruits and vegetables | buprofezin   - {pesticide residues} | South Africa,ATTENTION,RASFF
"suplement diety zawierający w składzie NMN (mononukleotyd nikotynamidu)///dietary supplement containing NMN (nicotinamide mononucleotide), country of origin: Netherlands | dietetic foods, food supplements and fortified foods |  | Netherlands",ATTENTION,RASFF
"Aflatoxins in dried mini figs from Spain, produced in Slovakia | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Spain",CRITIQUE,RASFF
Unauthorised substance (Oxamyl) in okra from Honduras via Germany  | fruits and vegetables | oxamyl  unauthorised substance - {pesticide residues} | Honduras,ATTENTION,RASFF
Significant exceedance of Pyrrolizidine alkaloids in Ajwain from India via France  | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | India,CRITIQUE,RASFF
Mercury above the legal limits in swordfish loins from Portugal | fish and fish products | mercury   - {heavy metals} | Portugal,CRITIQUE,RASFF
"Aflatoxin B1 in Groundnut kernels from USA | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | United States",ATTENTION,RASFF
arsenic in lemon sole filets | fish and fish products | arsenic   - {heavy metals} | United Kingdom,CRITIQUE,RASFF
High levels of pyrrolizidine alkaloids (PA) in oregano | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | Türkiye,ATTENTION,RASFF
"Superamento dei limiti di aflatossina B1 e totale in noci brasiliane sgusciate (Sp. Bertholletia excelsa) dalla Bolivia /Exceeding the limits of aflatoxin B1 and toral in shelled Brazil nuts (Sp. Bertholletia excelsa) from Bolivia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Bolivia",CRITIQUE,RASFF
"Aflatoxin in pinda count splits from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",ATTENTION,RASFF
aflatoxine in indonesian nutmeg | herbs and spices | Aflatoxin B1   - {mycotoxins} | Indonesia,CRITIQUE,RASFF
"Aflatoxins in hazelnut kernel from Azerbaijan | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Azerbaijan",CRITIQUE,RASFF
"Novel food (Artemisia annua L.) in food supplement from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | China",ATTENTION,RASFF
 Ochratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
" Aflatoxins in hazelnuts from Azerbaijan | nuts, nut products and seeds | Aflatoxins B1  - {mycotoxins},aflatoxin total  - {mycotoxins} | Azerbaijan",CRITIQUE,RASFF
Excessive levels of radioactivity in fresh mushrooms from Russia | fruits and vegetables | radioactivity  too high level - {radiation} | Russia,INFO,RASFF
"Too high levels of aflatoxin in hazelnuts from Turkey | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Türkiye",CRITIQUE,RASFF
Missing label of allergens (soy protein and mustard) in nordic languages on focaccia | cereals and bakery products |  | Italy,CRITIQUE,RASFF
"Deltamethrin and Methoxychlor in sugar apple from Egypt | fruits and vegetables | deltamethrin   - {pesticide residues},methoxychlor   - {pesticide residues} | Egypt",CRITIQUE,RASFF
Dimethomorph in green beans from Kenya | fruits and vegetables | dimethomorph   - {pesticide residues} | Kenya,CRITIQUE,RASFF
"Aflatoxins in groundnuts kernels from Brazil | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Brazil",CRITIQUE,RASFF
OTA in ground cayenne pepper from Spain//Ocratoxina A en pimienta cayena molida de España | herbs and spices | ochratoxin A   - {mycotoxins} | Spain,CRITIQUE,RASFF
"Methomyl and Chlorpyrifos in mangoes from Egypt | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues},methomyl   - {pesticide residues} | Egypt",CRITIQUE,RASFF
"Unauthorised substance (Diflubenzuron og Imidacloprid) in Sweet Basil from Thailand  | herbs and spices | diflubenzuron   - {pesticide residues},imidacloprid   - {pesticide residues} | Thailand",ATTENTION,RASFF
Fosthiazate in fresh domatoes from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
"pesticide residues in a batch of dried morel mushrooms | fruits and vegetables | E 231 - orthophenylphenol  unauthorised - {food additives and flavourings},anthraquinone   - {pesticide residues},chlorpyrifos-methyl  unauthorised substance - {pesticide residues} | Pakistan",ATTENTION,RASFF
Spirotetramat and spirotetramat-enol in fresh peppers from Türkiye | fruits and vegetables | Spirotetramat  unauthorised substance - {pesticide residues} | Türkiye,CRITIQUE,RASFF
"Aflatoxin in groundnut kernels from Nicaragua | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Nicaragua",CRITIQUE,RASFF
obecność pasożytów w mielonce z morszczuka z Chile// presence of parasites in minced hake from Chile | fish and fish products |  | Chile,CRITIQUE,RASFF
Pyrrolizidine alkaloids in cumin seed from Syria  | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | Syria,CRITIQUE,RASFF
Undeclared sulfur dioxide in dried mushrooms from China via Germany  | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | China,CRITIQUE,RASFF
High level of Ascorbic acid in fresh tuna fillets (Thunnus Albacares) from  Indonesia | fish and fish products | E 300 - ascorbic acid  too high content - {food additives and flavourings} | Indonesia,INFO,RASFF
"The unauthorised ingredient Lithium Orotate present in the product. | dietetic foods, food supplements and fortified foods |  | unknown origin",ATTENTION,RASFF
"Aflatoxin in Nicaraguan Groundnutkernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Nicaragua",CRITIQUE,RASFF
"Mucuna pruriens w food supplement from USA | dietetic foods, food supplements and fortified foods |  | United States",ATTENTION,RASFF
"Alternariol (AOH) and Alternariol Monomethyl Ether (AME) on Black Sesame seeds | nuts, nut products and seeds | alternariol   - {mycotoxins},alternariol monomethyl ether (AME)  - {mycotoxins} | Bolivia",INFO,RASFF
"Unauthorised substances gardenia yellow (E 164) and pullulan (E 1204) in food supplements from South Korea | dietetic foods, food supplements and fortified foods |  | South Korea",CRITIQUE,RASFF
Dried beans infected with insects and unsatisfactory identity check from Nigeria | fruits and vegetables |  | Nigeria,INFO,RASFF
High content of nickel in pepperoni from Republic of North Macedonia | fruits and vegetables | nickel   - {heavy metals} | Republic of North Macedonia,CRITIQUE,RASFF
Organoleptic changes in the shipment of peppers from Republic of North Macedonia | fruits and vegetables |  | Republic of North Macedonia,CRITIQUE,RASFF
 lipophilic toxins in tellins  | fish and fish products |  | France,CRITIQUE,RASFF
Salmonella in salmon fillets from Poland | fish and fish products | Salmonella spp   - {pathogenic micro-organisms} | Poland,CRITIQUE,RASFF
"MOSH/MOAH in basmati rice from Pakistan | cereals and bakery products | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants},mineral oil saturated hydrocarbons (MOSH)  - {environmental pollutants} | Pakistan",ATTENTION,RASFF
"Exceeding the MRL for morphine in blue poppy seeds from Slovakia///Depasire LMA  morfina in seminate de mac albastru din Slovacia | nuts, nut products and seeds | opium alkaloids  too high content - {composition} | Slovakia",CRITIQUE,RASFF
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"Stwierdzenie obecności orzecha czarnego (Juglans nigra) w suplemencie diety, kraj pochodzenia: USA /// Black walnut (Juglans nigra) in a food supplement, country of origin: USA | dietetic foods, food supplements and fortified foods |  | Denmark",ATTENTION,RASFF
"Residuos de plaguicidas (dinotefuran y clorfenapir) en pimentón dulce procedente de España//Detection of pesticide residues on thermized sweet paprika origin Spain | herbs and spices | chlorfenapyr   - {pesticide residues},dinotefuran   - {pesticide residues} | China,Spain",ATTENTION,RASFF
Prohibited import of cookies from Egypt | cereals and bakery products |  | Egypt,ATTENTION,RASFF
Elevated levels of sorbic acid in a batch of soft apricots | fruits and vegetables | E 200 - sorbic acid  too high content - {food additives and flavourings} | Türkiye,ATTENTION,RASFF
High levels of acetamiprid in mangoes | fruits and vegetables | acetamiprid   - {pesticide residues} | Spain,CRITIQUE,RASFF
Phenthoate in limes from Peru | fruits and vegetables | phenthoate  unauthorised substance - {pesticide residues} | Peru,CRITIQUE,RASFF
"Monacoline K in food supplement from Belgium | dietetic foods, food supplements and fortified foods | monacolin K  too high intake - {composition} | Belgium",CRITIQUE,RASFF
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"Unsafe ingredient (DHEA) in food supplements from USA | dietetic foods, food supplements and fortified foods | dehydroepiandrosterone (DHEA)  unauthorised substance - {composition} | United States",ATTENTION,RASFF
Dithiocarbamates in dragon fruits from Vietnam | fruits and vegetables | dithiocarbamates   - {pesticide residues} | Vietnam,CRITIQUE,RASFF
Detection of pyrrolizidine alkaloids in oregano | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | France,CRITIQUE,RASFF
MRL exceedance for flonicamid in Savoy cabbages from Belgium | fruits and vegetables | flonicamid   - {pesticide residues} | Belgium,CRITIQUE,RASFF
"przekroczony  poziom  zawartości ochratoksyny A oraz  NDP  pestycydu  Tricyklazolu  w  ryżu  brażowym basmati z Indii // exceeded levels of ochratoxin A and NDP of the pesticide tricyclazole in basmati rice from India | cereals and bakery products | ochratoxin A   - {mycotoxins},tricyclazole  unauthorised substance - {pesticide residues} | India",CRITIQUE,RASFF
tolfenpyrad in ground cumin from India | herbs and spices | tolfenpyrad   - {pesticide residues} | India,CRITIQUE,RASFF
"Prohibited substance (yohimbine) in food supplement from USA | dietetic foods, food supplements and fortified foods |  | United States",CRITIQUE,RASFF
"Novel food (DIM) in food supplement from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | unknown origin",ATTENTION,RASFF
"Unauthorized pesticides residues chlorpyrifos 0,33 ± 0,17 mg/kg and exceed ML of pesticides residues: profenofos  3,3 ± 1,0 mg/kg in dill from Uzbekistan  | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues},profenofos  unauthorised substance - {pesticide residues} | Uzbekistan",ATTENTION,RASFF
"Novel food (BHB) in food supplements from USA | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | United States",ATTENTION,RASFF
 Ochratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
Detection of pyrrolizidine alkaloids in a batch of Herbes de Provence | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | France,CRITIQUE,RASFF
Positive results at inhibitory tests in frozen sea bream fillets from  Netherlands | fish and fish products |  | Netherlands,ATTENTION,RASFF
Listeria monocytogenes in gravad salmon | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Sweden,CRITIQUE,RASFF
"Aflatoxin B1 and Total in Groundnuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",ATTENTION,RASFF
"Bifenthrin and clothianidin  in jujube from China  | fruits and vegetables | bifenthrin   - {pesticide residues},clothianidin   - {pesticide residues} | China",ATTENTION,RASFF
Ergot Alkaloiden in bakery product | cereals and bakery products | ergot alkaloids  - {natural toxins (other)} | Netherlands,CRITIQUE,RASFF
"Pesticide residues in vine leaves from the United Arab Emirates | fruits and vegetables | Azoxystrobin   - {pesticide residues},Spirotetramat  unauthorised substance - {pesticide residues},boscalid   - {pesticide residues},carbendazim   - {pesticide residues},cypermethrin   - {pesticide residues},cyprodinil   - {pesticide residues},difenoconazole   - {pesticide residues},dimethomorph   - {pesticide residues},emamectin   - {pesticide residues},fludioxonil   - {pesticide residues},methoxyfenozide   - {pesticide residues},propiconazole   - {pesticide residues} | United Arab Emirates",ATTENTION,RASFF
"Ochratoxine A in foodsupplement | dietetic foods, food supplements and fortified foods | ochratoxin A   - {mycotoxins} | China",CRITIQUE,RASFF
"Aflatoxin B1 and Total in Groundnuts kernels from Nicaragua | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Nicaragua",ATTENTION,RASFF
"Stwierdzenie obecności ostaryny w suplemencie diety pn. Ostarine, kraj pochodzenia: Wielka Brytania // Presence of ostarine in the dietary supplement Ostarine, country of origin: United Kingdom | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,RASFF
Listeria monocytogenes in fresh crabs with shells from Germany | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Germany,CRITIQUE,RASFF
"Aflatoxin in groundnutkernels from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,RASFF
Incorrect labelling in butter biscuits from Germany/ Errata etichettatura in biscotti al burro dalla Germania  | cereals and bakery products |  | Germany,CRITIQUE,RASFF
"Aflatoxine b1 and total in groundnut from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",ATTENTION,RASFF
"Salmonella spp. in chopped thyme from Poland, via Germany | herbs and spices | Salmonella spp.  - {pathogenic micro-organisms} | Poland",CRITIQUE,RASFF
"undeclared soy and Salmonella in tahini from Israel | nuts, nut products and seeds | soya  undeclared - {allergens} | Israel",CRITIQUE,RASFF
"Novel food (Cistanche tubulosa) in food supplement from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | China",ATTENTION,RASFF
acetamiprid in fresh domates from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
Ochratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
Lambda-cyhalothrin in sugar apples from Egypt | fruits and vegetables | lambda-cyhalothrin   - {pesticide residues} | Egypt,CRITIQUE,RASFF
pasożyty w morszczuku z Chile///parasites in hake mince  from Chile | fish and fish products |  | Chile,CRITIQUE,RASFF
wykryto przekroczenie NDP pozostałości pestycydu - chlorpyryfosu w rzodkwi białej podłużnej// Exceedance of the maximum residue level (MRL) of the pesticide chlorpyrifos detected in white oblong radish; country origin: Poland | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Poland,ATTENTION,RASFF
"Novel food (Eurycoma longifolia Jack) in food supplement from the USA | dietetic foods, food supplements and fortified foods | tongkat ali (Eurycoma longifolia) unauthorised novel food ingredient - {novel food} | United States",ATTENTION,RASFF
aflatoxins in baby biscuits | cereals and bakery products | Aflatoxin B1   - {mycotoxins} | France,CRITIQUE,RASFF
Excede los límites máximos de mercurio en atún de Marruecos/Exceeds maximum limits of mercury in tuna from Morocco | fish and fish products | mercury   - {heavy metals} | Morocco,CRITIQUE,RASFF
Listeria monocytogenes in smoked salmon flakes | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,RASFF
"stwierdzenie obecności niedozwolonego składnika - Mucuna pruriens (świerzbiec właściwy) w suplemencie diety pochodzącym z Litwy/// presence of a prohibited ingredient - Mucuna pruriens (mucuna pruriens) in a food supplement from Lithuania | dietetic foods, food supplements and fortified foods |  | Lithuania",ATTENTION,RASFF
"Small plastic foreign bodies in semolina flakes from Austria, produced in Germany | cereals and bakery products |  | Germany",CRITIQUE,RASFF
Hexaconazole in green beans from Kenya | fruits and vegetables | hexaconazole  unauthorised substance - {pesticide residues} | Kenya,CRITIQUE,RASFF
Chlorfenapyr in peppers from Vietnam | fruits and vegetables | chlorfenapyr  unauthorised substance - {pesticide residues} | Vietnam,CRITIQUE,RASFF
"Unauthorised novel food (astragalus) in MounjaBurn food supplement | dietetic foods, food supplements and fortified foods |  | United States",ATTENTION,RASFF
"Novel food (alpha-GPC) in food supplement from USA | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | United States",ATTENTION,RASFF
Filone di tonno - Mercurio/mercury in yellowfin tuna ( Thunnus albacares) from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,RASFF
"exceedance of MRLs for aflatoxin B1 and sum of aflatoxins in hazelnuts from Azerbaijan//przekroczenie NDP aflatoksyny B1 oraz sumy aflatoksyn w orzechach laskowych pochodzących z Azerbejdżanu | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Azerbaijan,Poland",CRITIQUE,RASFF
mercurio oltre i limiti in verdesca dalla Spagna//Mercury levels exceed limits in blue shark from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,RASFF
"Pesticide residues in strawberries | fruits and vegetables | oxamyl  unauthorised substance - {pesticide residues},thiacloprid   - {pesticide residues} | Poland",CRITIQUE,RASFF
Pyrrolizidin alkaloids in dried oregano from Turkey | herbs and spices | pyrrolizidine alkaloids   - {natural toxins (other)} | Türkiye,CRITIQUE,RASFF
"wysoka zawartość witaminy A w suplemencie diety pochodzącym z Polski///high vitamin A content in a food supplement from Poland | dietetic foods, food supplements and fortified foods | vitamin A  too high content - {composition} | Poland",ATTENTION,RASFF
"Acetamiprid and methomyl in green asparagus from Peru | fruits and vegetables | acetamiprid   - {pesticide residues},methomyl unauthorised substance  - {pesticide residues} | Peru",CRITIQUE,RASFF
"Nickel in Toasted Sunflower Paste from france | nuts, nut products and seeds | chlormequat   - {pesticide residues},nickel   - {heavy metals} | France",ATTENTION,RASFF
MRL exceedance for deltamethrin in white grapes from Italy | fruits and vegetables | deltamethrin   - {pesticide residues} | Italy,CRITIQUE,RASFF
"Lack of veterinary checks on frozen Alaska pollack (Theragra chalcogramma) from the Russian Federation, via the Republic of Korea | fish and fish products |  | Russia",INFO,RASFF
"Salmonella spp. in sesame seeds from India | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | India",CRITIQUE,RASFF
Ochratoxin A in dried apricots from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"Lack of veterinary checks on frozen Alaska pollack (Theragra chalcogramma) from the Russian Federation, via the Republic of Korea | fish and fish products |  | Russia",INFO,RASFF
Carbofuran (pesticides) in fresh peppers capsicum pubescens | fruits and vegetables | carbofuran   - {pesticide residues} | Peru,CRITIQUE,RASFF
"Pesticide residues in oranges from Argentina | fruits and vegetables | imazalil   - {pesticide residues},thiabendazole   - {pesticide residues} | Argentina",ATTENTION,RASFF
"Bacterial contamination in fish Sparus aurata from Türkiye, via Italy and via Germany | fish and fish products | Enterobacteriaceae   - {non-pathogenic micro-organisms},Pseudomonas spp.  high count - {non-pathogenic micro-organisms},mesophiles aerobic too high count - {non-pathogenic micro-organisms} | Türkiye",ATTENTION,RASFF
Detection of acetamiprid on red globe grapes Italy | fruits and vegetables | acetamiprid   - {pesticide residues} | Italy,CRITIQUE,RASFF
Mold in porridge bar | cereals and bakery products |  | Sweden,ATTENTION,RASFF
"Salmonella in sunflower seed bakery from Bulgaria | nuts, nut products and seeds | Salmonella typhimurium  - {pathogenic micro-organisms} | Bulgaria",CRITIQUE,RASFF
 Imazalil above legal limits in mangoes from Egypt | fruits and vegetables | imazalil   - {pesticide residues} | Egypt,CRITIQUE,RASFF
Presenza di Bacillus Cereus in curcuma in polvere from India via Netherlands //  Presencia de Bacillus cereus en cúrcuma en polvo procedente de La India a través de Países Bajos   | herbs and spices | Bacillus cereus presumptive - {pathogenic micro-organisms} | India,CRITIQUE,RASFF
"Clothianidin and thiamethoxam above legal limits in ground cumin from India | herbs and spices | clothianidin   - {pesticide residues},thiamethoxam   - {pesticide residues} | India",CRITIQUE,RASFF
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,RASFF
"Novel food (Xanthoparmelia scabrosa) in food supplement from USA | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | United States",ATTENTION,RASFF
"Novel food (Betahydroxybutyrate (BHB)) in food supplement from USA | dietetic foods, food supplements and fortified foods |  | United States",ATTENTION,RASFF
"Novel food (Xanthoparmelia scabrosa) in food supplement from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | China",ATTENTION,RASFF
lipophilic toxins in tellins | fish and fish products |  | France,CRITIQUE,RASFF
acetamiprid in white table grapes | fruits and vegetables | acetamiprid   - {pesticide residues} | Italy,CRITIQUE,RASFF
Ergot alkaloids in organic rye flour | cereals and bakery products | ergot alkaloids  - {natural toxins (other)} | Netherlands,CRITIQUE,RASFF
excess chlorpyrifos in canned mushrooms | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | France,CRITIQUE,RASFF
fumonisins in polenta from Italy | cereals and bakery products | fumonisins   - {mycotoxins} | Belgium,CRITIQUE,RASFF
"Novel food (Epimedium) in food supplements  | dietetic foods, food supplements and fortified foods |  | unknown origin",ATTENTION,RASFF
Methomyl in peppers from Republic of North Macedonia | fruits and vegetables | methomyl   - {pesticide residues} | Republic of North Macedonia,CRITIQUE,RASFF
"Alto contenido de vitamina B6 en complemento alimenticio procedente de Alemania//High vitamin B6 content in a food supplement from Germany  | dietetic foods, food supplements and fortified foods |  | Germany",ATTENTION,RASFF
"Novel food (Hoodia gordonii) in food supplement from China | dietetic foods, food supplements and fortified foods |  | China",ATTENTION,RASFF
Sulphite undeclared (sulfur dioxide) on dried osmotic strawberries from Serbia | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Serbia,CRITIQUE,RASFF
"High levels of aflatoxin B1 in organic roasted almonds | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Spain",CRITIQUE,RASFF
"undeclared allergen milk in cookies, from Jordan | cereals and bakery products |  | Jordan",CRITIQUE,RASFF
"Sesame seeds from Nigeria not presented for border control | nuts, nut products and seeds |  | Nigeria",CRITIQUE,RASFF
"AFLATOXINS IN SHELLED HAZELNUTS FROM GEORGIA/ Aflatossine in nocciole sgusciate dalla Georgia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Georgia",CRITIQUE,RASFF
"Ochratoxin A in organic pistachio cream from the Netherlands | nuts, nut products and seeds | ochratoxin A   - {mycotoxins} | Netherlands",ATTENTION,RASFF
"Lack of necessary product identification Borage oil powder from India | dietetic foods, food supplements and fortified foods |  | India",CRITIQUE,RASFF
"Salmonella spp in macadamia nuts from Malawi | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Malawi",CRITIQUE,RASFF
Detection of Listeria in mixed lettuce | fruits and vegetables | Listeria monocytogenes  - {pathogenic micro-organisms} | France,CRITIQUE,RASFF
"Novel food (DMAE) in food supplements from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | unknown origin",ATTENTION,RASFF
mercury in swordfish from Spain | fish and fish products | mercury   - {heavy metals} | Spain,CRITIQUE,RASFF
Salmonella Weltevreden in frozen minced cassava leaves from Vietnam. | fruits and vegetables | Salmonella Weltevreden  - {pathogenic micro-organisms} | Vietnam,CRITIQUE,RASFF
"Ochratoxin A and Aflatoxin B1 in dried diced figs from Turkey | fruits and vegetables | Aflatoxin B1   - {mycotoxins},ochratoxin A   - {mycotoxins} | Türkiye",CRITIQUE,RASFF
"Aflatoxin and Ohratoxin A in dried figs from Türkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins} | Türkiye",CRITIQUE,RASFF
Clothianidin in mangos from Egypt | fruits and vegetables | clothianidin   - {pesticide residues} | Egypt,CRITIQUE,RASFF
"Clothianidin and imidacloprid in mangos from Egypt | fruits and vegetables | clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues} | Egypt",CRITIQUE,RASFF
"Clothianidin and imidacloprid in mangos from Egypt | fruits and vegetables | clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues} | Egypt",CRITIQUE,RASFF
"Novel food (Betahydroxybutyrate (BHB)) in food supplement United States | dietetic foods, food supplements and fortified foods | novel food  unauthorised - {novel food} | United States",ATTENTION,RASFF
"Novel food (Epimedium) in food supplements | dietetic foods, food supplements and fortified foods | Epimedium unauthorised novel food ingredient - {novel food} | China",ATTENTION,RASFF
"ethylene oxide in black garlic cloves, from China | herbs and spices | ethylene oxide   - {pesticide residues} | China",CRITIQUE,RASFF
Undeclared allergen sulphur dioxide in dried fruits from the Netherlands | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Iran,CRITIQUE,RASFF
Listeria monocytogenes in cod from France | fish and fish products | Listeria monocytogenes  - {pathogenic micro-organisms} | France,ATTENTION,RASFF
Sulphite undeclared (sulfur dioxide) in dried osmotic apricots from Serbia | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Serbia,CRITIQUE,RASFF
"Novel food (Betahydroxybutyrate (BHB)) in food supplement from United States | dietetic foods, food supplements and fortified foods |  | United States",ATTENTION,RASFF
"pancreatin in food supplement from Portugal | dietetic foods, food supplements and fortified foods |  | Portugal",ATTENTION,RASFF
"Aflatoxins in groundnutkernels, from Nicaragua | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Nicaragua",CRITIQUE,RASFF
"foreign bodies: metal fragments, plastic and  paper in rice from India | cereals and bakery products |  | India",CRITIQUE,RASFF
"Dead Anisakidae larvae in frozen Atlantic herring (Clupea harengus), origin Iceland | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Iceland",INFO,RASFF
"Novel food (Cistanche deserticola) in food supplement from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | China",ATTENTION,RASFF
"Aflatoxin in pistachio kernel from Türkiye | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,RASFF
"Bacillus cereus in Beancurd with Chilli from China | nuts, nut products and seeds | Bacillus cereus  - {pathogenic micro-organisms} | China",CRITIQUE,RASFF
"Novel food (Fadogia agrestis) in food supplement from China | dietetic foods, food supplements and fortified foods | ingredient  unsafe - {composition} | China",ATTENTION,RASFF
"Too high levels of aflatoxin in Nicaraguan groundnut kernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Nicaragua",CRITIQUE,RASFF
"Novel food Tongkat Ali (eurycoma longifolia) in food supplements | dietetic foods, food supplements and fortified foods |  | unknown origin",ATTENTION,RASFF
Unauthorized import of cookies from Jordan containing milk | cereals and bakery products |  | Jordan,ATTENTION,RASFF
"Too high levels of aflatoxin in Nicaraguan groundnutkernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Nicaragua",CRITIQUE,RASFF
